ID,Name,Purpose,Alpha Acid Low (%),Alpha Acid High (%),Beta Acid Low (%),Beta Acid High (%),Co-Humulone Low (%),Co-Humulone High (%),Country,Storability,Total Oil Composition (mL/100g),Myrcene Oil Low (%),Myrcene Oil High (%),Humulene Oil Low,Humulene Oil High,Caryophyllene Oil Low,Caryophyllene Oil High,Farnesene Oil Low,Farnesene Oil High,Linalool Oil Low,Linalool Oil High,Polyphenols Oil Low,Polyphenols Oil High,Substitutes,Style Guide,Also Known As,Characteristics,Description,Flavors
09068314-4980-49e8-b802-00caa02818e7,Pacific Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,"Released in 2000 by HortResearch in New Zealand, Pacific Sunrise’s take up by commercial breweries has been sluggish. Despite this, it features favorable bittering properties and a pleasant piney aroma. It is the result of a cross between the result of a European and New Zealand male on one side and a California Cluster and a Fuggle on the other.",
b0baf3cc-a89c-462f-a3d1-22bfc962a333,Pacifica,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bred in New Zealand, triploid aroma hop Pacifica, or Pacific Hallertau as it is sometimes known, is the result of open pollination breeding of German hop Hallertauer Mittelfrüher. The hop was released by HortResearch, New Zealand following promising brewing trials in 1994.",
e25d095f-a0d0-4d52-9126-4169cd647414,Pahto,,17,20,4.5,6,,,,, - ,48,52,,,,,,,,,,,,,,,,"Earth, Pepper, Plum, Resin"
65058b40-a4a6-4eab-847f-0a02c8daa42e,Palisade®,,5.5,9.5,6,8,,,,,1.4 - 1.6,9,10,,,,,,,,,,,,,,,"For brewers, Palisade® hops, bred by Yakima Chief Ranch feature complex floral, herbal and grassy aromas in addition to flavors of nectar fruits and citrus. For growers, it exhibits nothing short of incredible yield potential – at least in its native Yakima Valley, Washington environment. Palisade is an open pollination cross from Swiss Tettnanger.","Apricot, Orange, Passion fruit, Honey, Yoghurt"
62cc7ddc-8451-428a-9b31-b58bfb5d118a,Perle,"Bittering, Aroma",4,9,2.5,4.5,28,,Germany,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),0.5 - 1.5,0.6,1.2,44,,29,,10.2,,0.2,0.6,3,5,,"Perle (US), Northern Brewer (GR)",,,The original Perle was created in Germany sometime during the 1960’s or early-mid 1970’s from Northern Brewer and a German male. It was released to the public in 1978.,"Leek, Celeriac, Chilli, Marjoram"
7f7d34e3-715d-484f-84d6-c451966d7d5a,Perle (US),,,,,,,,,,,,,,,,,,,,,,,,,,,"While genetically indistinct from the original German variety, US-grown Perle tends to exhibit higher alpha acids potential and a slightly different balance of oils. Specifically, it tends to be higher in myrcene with lower in humulene, which may make US-grown Perle marginally more useful for bittering.",
478b5a7c-7a93-45dd-bbdf-4ad16e94a328,Petham Golding,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hailing from Wye College in England, Petham Golding was one of the prevailing hop varieties grown in East Kent in the late 1800’s. Descended from Canterbury Whitebine, much like other Golding varieties, the variety isn’t around much anymore due to its lackluster yield, poor storage stability and susceptibility to Hop Mosaic virus. In addition, it has an unusual upward-facing sidearm configuration that tends to break easily at the branching point. Little can be found about its flavor and aroma profile but the variety is parent to popular US varietal, Chinook. Naturally one would assume these two varieties are likely to share some characteristics as a result.",
3f2353a2-dab7-447c-a7d9-2429998162b3,Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,"Despite its low yield, Phoenix has a lovely aroma and flavor and seems destined to become a favorite among craft brewers. It was first grown at Wye College in England in an effort to find a more disease resistant replacement for Challenger hops. Phoenix was selected as a seedling of Yeoman.",
c0a08eea-e755-4a28-8861-3eede2cc1505,Pilgrim,,10,13,4,5.5,,,,,1 - 1.8,24,33,,,,,,,,,,,,,,,"Pilgrim’s siblings, First Gold and Herald are both dwarf hop varieties, Pilgrim however is not. A cultivar of Wye College, England, Pilgram displays first-rate bittering qualities in addition to favorable aroma and flavor characteristics. It was released in the year 2000.","Peppermint, Herbs, Lime, Marjoram"
cc431f83-a941-47ea-a031-a6d48f454afd,Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pilot is a high-yielding hedgerow variety, well resistant to wilt, but not to mildew. Bred at Wye College and released in 2001, it’s oil balance makes it distinct from most other English hops. It is said to have excellent, clean and refreshing bittering qualities with spicy aromatics of lemon and marmalade.",
14eeeebe-9654-477f-b51c-2687bc46b514,Pioneer,"Bittering, Aroma",10,,3.5,4,36,40,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1,1.8,31,36,22,24,7,8,,,,,,East Kent Golding,,"Clean bittering, aromas of citrus, lemon, grapefruit, herbs and cedar",Pioneer has a classic English aroma and mild-tempered bittering despite its very high cohumulone levels. It is considered more than suitable for use at any point in the brewing process.,
3d8cbf40-2553-4409-8f32-fb3b5a884750,Pocket Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originating in Idaho, USA, Dwarf variety Pocket Talisman has proven difficult to establish with rhizomes often failing to produce bines. Originally selected from a field of regular Talisman hops in the 1970’s, the initial test plot took three years to establish due to failed rhizome growth. Once established it produces well on a low trellis but is not currently grown commercially. Little is known of its exact aroma and flavor profile but it is said to share some similarities with Cluster.",
fbff6243-b7c3-4790-945e-8f382bdc70d0,Polaris,,18,24,5,6.5,,,,,2.4 - 4.4,,,,,,,,,,,2.6,2.7,,,,,"New to the scene, the Hop Research Institute in Hüll, Germany released Polaris in 2012. Commanding incredibly high alpha acids, Polaris features elements of spice, pine and intense mint alongside a strong but pleasant, fruity and floral aroma.","Banana, Woodruff, Bergamot, Pineapple, Mint"
bca9f1db-d0d0-4d6b-8c9d-36b52f13c9db,Precoce de Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,,"French in origin, Precoce de Burgnogne is likely a clone but it is unknown exactly from which variety. Established in 1977, translated its name means “Early Burgundy” and it is very closely related to the Tardif de Bourgogne and Elsaesser varietals. While it is listed as an aroma hop, little tasting information exists on Precoce de Bourgogne. It was at one time grown commercially in small quantities in its native Alsace but it is not clear if this is still the case.",
1ce10dc5-5869-4d76-bdab-af564004fcf0,Premiant,,7,11,3.5,6,,,,,0.9 - 1.3,35,50,,,,,,,0.4,0.7,4,5,,,,,"Premiant, meaning prized or prize-winning, is moderately bittering with a low cohumulone ratio. This makes it an ideal neutral bittering agent, especially for Pilsners. Released in 1996, it is a descendant of Northern Brewer and often employed by brewers in Belgian Pilsners and is also well suited to Belgian, French and German Ales as well. This versatility is perhaps one reason that breweries dabbling in Czech or Belgian styles have a strong preference for Premiant.","Jasmine, Passoin fruit, Lavender, Chocolate, Lemon grass"
03abd16e-37d5-45c1-be89-c0158303d22b,Pride of Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed in England at Wye College, Pride of Kent features a pleasant continental-type aroma. It was first developed sometime in the early to mid 20th century from open pollinated Brewer’s Gold. Pride of Kent is also the parent of the celebrated Australian variety, Pride of Ringwood.",
42d046bf-c174-4de1-949a-7f28e1af54e4,Pride of Ringwood,,,,,,,,,,,,,,,,,,,,,,,,,,,"When Australian hop Pride of Ringwood was released in 1958 it had the distinction of being the hop with the highest alpha acid content in the world. Though that title has been long surpassed it is still an incredibly popular bittering hop. Best utilized fresh, Pride of Ringwood is primarily a bittering hop but also exhibits spicy, fruity aromas when used as a late addition.",
0253cbb8-81a2-4f6b-9681-86f469fcbff1,Progress,Aroma,6,7.5,2,3.3,25,34,UK,Retains 74% alpha acid after 6 months storage at 20ºC (68ºF),Moderate to Easy,0.5,1.2,24,33.5,36,47,10.6,14,,,,,,"East Kent Golding, Fuggle",,"Sweet flavor, Fuggle-like aromas of grass, mint and earth. Subtle bitterness.","Progress was bred in the 1950’s at Wye College in England and released in 1964 as a low-cost alternative for Fuggle hops. Slightly sweet with subtly bitter, it features pleasant and Fuggle-like floral aromas of grass, mint and earth.","Cassis, Creamy, Coriander"
067879a6-81a8-40ce-9fe7-50ed497b4a0b,Rakau,"Bittering, Aroma",10.9,,2.6,4.8,27,,New Zealand,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),,1.21,,44,65,15,,3,8,,,,,,,"AlphaAroma, AlphAroma",,"Rakau, or AlphAroma as it was previously known, was developed in New Zealand. Languishing in its disease free habitat, Rakau features a high concentration of myrcene is said to pair it beautifully to dry-hopped American Pale Ales.",
1960f0a5-bbda-4a46-8c70-9d0e33f7277f,Record,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originating in Belgium sometime prior to 1970, Record hops feature a pleasant European aroma. Bred from an open pollination Saaz and Northern Brewer, their aroma characteristics are said to closely resemble that of the later parent, Northern Brewer. Flavor-wise, they have been described as mild and somewhat fruity. Record has been grown in a commercial capacity in both Germany and Belgium.",
bf5b58a5-c3bc-4baf-b5bc-bcffd116e6cc,Red Earth,Aroma,,,,,,,Australia,,,,,,,,,,,,,,,,,,"Spicy, woody aroma and flavor with an undernote of citrus","Red Earth hops bring with them an altogether “Australian” depth of character. They’re a modern Australian breed which carry a decidedly spicy, woody aroma and flavor with a citrusy under note. The name stems from the reddish hue cones exhibit as they emerge from the early, burr stage of development.",
15a64080-580e-47dd-99fa-c897c46cf980,Relax,,0.3,1.5,10,15,,,,,1 - 1.3,17,30,,,,,,,0.3,0.5,,,,,,,,"Cognac, Lychee, Rose hip, Lavender, Leather"
894cda0a-6b82-42fb-919d-7c10aeecbd74,Riwaka,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered to be one of the darling hops of the New Zealand craft beer scene, Riwaka’s abundant oil content is nearly twice that of its parent variety Saaz. This unique oil balance alongside a near 1:1 ratio of alpha to beta acids gives it a strong sweet citrus note that, according to one brewer, makes it the “ultimate” for hoppy beers. Riwaka, formerly known as D Saaz, is a product of HortResearch’s New Zealand Hops “hops with a difference” program and was officially released to the brewing world in 1997.",
d282ff8d-9b3c-496f-894c-504c6260cae0,Saaz,,3,6,4.5,8,,,,,0.4 - 1,25,40,,,,,,,0.4,1,5.5,7,,,,,"Officially registered in 1952, the original Saaz, or Czech Saaz as it is sometimes known, has established itself as a staple variety for brewers and dates back more than 700 years. Originating in Zatec, Bohemia (now part of the Czech Republic) it is an esteemed red-bine variety that is now grown around the world. New Zealand in particular has embraced Saaz, breeding several descendants including the popular Motueka and Riwaka varieties (B & D Saaz, respectively).","Bergamot, Honey, Woody, Camomile tea, Spicy"
7defae0b-9e64-4c94-86d5-fa8200779cbd,Saaz (US),,,,,,,,,,,,,,,,,,,,,,,,,,,"Despite exhibiting a low yield, Saaz (US) is a popular commercial aroma variety and is used in many US beers today. Bred from the original centuries-old Czech Saaz variety, it carries the same noble qualities but with some subtle differences. Its flavor and aroma profile is mild, earthen and spicy and its alpha is slightly higher than its Czech twin. Saaz (US) is primarily used in Lagers and Pilsners.",
61410bee-14a1-4cb0-a941-0a055d913675,Saaz Late,,3.5,6,4,6.5,,,,,0.5 - 1,25,35,,,,,,,0.2,0.4,5,6,,,,,,"Passion fruit, Lemon, Raspberry, Blackberry, Camomile tea"
c86efb88-46db-4ddb-ba6b-f7ffd50c942d,Santiam,Aroma,8,,5.3,8.5,18,24,US,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.3,1.7,25,36,23,26,4.8,8.8,,,,,,"Tettnanger, Spalt, Spalter Select, Hallertau, Liberty",,"Soft, herbal, floral, fruity aromas with hints of pepper and spice","Developed at the Agriculture Research Service in Corvallis, Oregon, Santiam hails from parent varietals Swiss Tettnanger, German Hallertauer Mittelfrüher and a slightly more distant Cascade (US)-derived cultivar. It was released to the brewing public in 1997 and features a well-balanced oil profile.",
9b2c5764-bbbb-4cc1-ac20-80b2b3ace48e,Saphir,Aroma,2,4.5,4,7,12,17,Germany,,0.8 - 1.4,0.8,1.4,25,40,20,30,9,14,0.8,1.3,4,5,,"Hallertau, Hallertau Tradition, Spalter Select",Sapphire,Sweet citrus aromas with hints of tangerine,"Released in 2002, Saphir features elements of spice and fruit amid refined citrus notes of tangerine. It is considered well suited to Belgian Whites as well as Pilsners and German Lagers.","Lemon grass, Black tea, Strawberry, Juniper, Citrus"
51d56815-2124-4fce-ba8b-5c8c74c50b07,Satus®,Bittering,14,,8.5,9,32,35,US,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Moderate,1.5,2.8,40,45,15,20,7,10,,,,,,"Nugget, Galena",,,"Satus® is a trademarked variety of Yakima Chief Ranches in Washington State. It is a high alpha dual-use hop considered great as a clean foundational hop when used at the beginning of a boil and when an extra punch of hops is desired. When used late, strong citrus notes come to the fore.",
93700dae-be5e-4b7d-8d34-146df98bc223,Saxon,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saxon was developed in England at the esteemed Wye College. It was bred from Svaloef, an old Swedish variety that is no longer grown and an unnamed male varietal. Sister to Viking, Saxon does have a pleasant aroma when used in brewing but is not grown commercially. It is instead used predominantly for breeding. Its yield is poor in the US, but higher in England.",
b81294cf-9e53-4272-82e6-9b2d3049513f,Serebrianka,Aroma,4,,3,,23,,Russia,Retains 53% alpha acid after 6 months storage at 20ºC (68ºF),,0.41,,30,,27,,8,,,,,,,,"Silver Hop, Silver","Continental aroma and taste with hints of black tea, herbs and tobacco","Serebrianka, or Silver as it is sometimes called, is a Russian aroma hop and parent to Cascade. Its commercial viability was tested for a staggering 20 years in the US before it was discarded in 1991 for a number of faults, most notably, its incredibly low yield. It is however still sometimes available for home brewing use.",
3ee38987-811e-4114-a971-ca9015477f93,Shinshuwase,Aroma,8.3,,4,6.1,51,,Japan,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),,0.42,0.98,57.5,,12,,20.3,,,,,,,"Saaz, Hallertau, Santiam","Shinshu-Wase, Shinshu Wase",Lemon aromas,"Grown exclusively in Japan, Shinshuwase is a high yielding aroma hop. It dates back to the early 1900’s, possibly earlier. While it still exists, it has largely been replaced by Kirin II, Toyomidori, Kitamidori and Eastern Gold as a commercial crop.",
3c10d35d-7569-4bc8-8e47-bf41fac00492,Simcoe®,"Bittering, Aroma",12,14,4,5,15,20,US,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,2,2.5,60,65,10,15,5,8,,,,,,Summit,,"Bright citrus flavors with earthy undertones, aromas of grapefruit, pine and herbs","Released to the world in 2000 by Yakima Chief Ranches, American variety Simcoe® has become wildly popular with craft brewers. With a high alpha percentage and low cohumulone, it makes a very nice foundational bittering hop. It is also noted though for its favorable aroma qualities. It has a pleasantly fruity, yet earthy herbal and piney aroma.","Blackberries, Berries, Grapefruit, Plum"
a2c1330b-d1de-410b-b6f1-43acee696977,Sladek,,5,9,8,11,,,,,0.8 - 1,25,40,,,,,,,0.15,0.3,3.5,5,,,,,"Sladek, meaning ‘brewer’, is a high yielding aroma variety and cross between Saaz and Northern Brewer. Originally registered as VUCH 71 In 1987, it was renamed to Sladek in 1994. Sladek features a classic hoppy aroma atop a fruity flavor profile with essences of peach, passionfruit and grapefruit.","Passion fruit, Strawberry, Cassis, Grapefruit, Peach"
8ae34531-f601-4f83-90ca-06d3606d88dd,Smaragd,"Bittering, Aroma",4,6,3.5,5.5,13,18,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.4 - 0.8,0.7,1.7,20,40,30,50,9,14,0.9,1.4,4,6,,,"Emerald, German Emerald","Predominantly fruity aroma with bold floral notes, flavors of earth and spice","Smaragd is another interesting hop to come out of the Hop Research Institute in Hüll, Germany. Bred with the purpose of creating a more disease resistant alternative to Hallertau Mittelfrüh, it was released for large-scale production in 2007.","Camomile tea, Tarragon, Butter, Liquorice, Cognac"
ab483dd3-c09b-44cd-8ae3-7a1e7525ba3a,Smooth Cone,"Bittering, Aroma",9.5,,3.4,5.2,31,31,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),,0.38,1.14,55,,21,,6,,,,,,,Cluster,SmoothCone,,"Smooth Cone is a New Zealand hop variety. It is no longer grown commercially but can still be found. Developed in the 1960’s, the variety was introduced alongside two other Black Root Rot resistant varieties, First Choice and Calicross after the disease savaged New Zealand’s hops industry during the mid 20th century.",
04200b88-5203-4d69-bcf6-f8831b017c8e,Sonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sonnet is a new, Oregon-grown hop said to have Saaz and Styrian Golding characteristics. It has a low alpha acid content and makes a nice aroma hop, exhibiting deeply floral, grassy and earthy notes alongside a balanced, rounded bitterness. Flavor-wise it is said to demonstrate some fruitiness with hints of oak and honey.",
1e462727-7f3b-4e6f-9afe-aeb192dc195d,Sorachi Ace,"Bittering, Aroma",12,16,6,7.5,23,28,Japan,,1 - 1.5,1.5,3,44,55,20,26,7,11,0.5,0.8,,,,,,"Flavors of lemon citrus, orange, dill, cilantro","If you’ve ever enjoyed Sapporo, then you know what Sorachi Ace can do. Originally produced by the Sapporo Brewery in Hokkaido, Japan in the mid-1980s, it was resurrected in the US in 2006. It is a cross between Saaz, Brewer’s Gold and BeiKei No. 2.","Over-ripe orange, Lychee, Lemon grass"
2be77e69-5ebc-45ce-984e-25cb173e73af,Southern Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent of Southern Promise, Southern Brewer was developed in the early 1970’s after the primary South African hops variety at the time, Golden Cluster, was devastated by black root rot. It is the result of an open pollinated cross of Fuggle.",
5c5fef91-30b4-4122-9a9d-9373bc38038c,Southern Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Cross was created by New Zealand’s HortResearch breeding program as a cross between Smooth Cone and the result of a Californian and English Fuggle. It was released in 1994.,
51558ce8-d862-4018-9625-e480f9f8b617,Southern Promise,"Bittering, Aroma",11.5,,3.6,5.4,20,22,Slovenia,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.7,0.7,22,,26,26,9,,,,,,,Southern Brewer,,"Smooth bitterness, woody, earthy","Southern Promise was bred specifically for the South African region. Created from Southern Brewer and a wild Slovenian male, it was developed in an effort to produce a variety that would grow well in areas with limited sunlight.",
89c49c3d-1769-4910-9e00-e4a0202f5c8e,Southern Star,,,,,,,,,,,,,,,,,,,,,,,,,,,"Released in 2001, Southern Star was developed in South Africa around 10 years after Outeniqua and Southern Promise. Like it’s two predecessors it is also considered a day neutral variety, meaning it can be grown in locations with reduced daylight. It is used primarily for bittering but also features a spicy, tangy flavor and some aroma.",
4ab0aa3e-b54c-4e4c-89c5-550119d40456,Sovereign,Bittering,4.5,6.5,2.1,3.1,26,30,UK,,0.5 - 1,0.6,1,25,30,21,26,7.9,8.1,,,,,,,,"Complex aroma, subtle notes of green-tea and vanilla","The granddaughter of Pioneer, Sovereign is an English variety bred at Wye College in the mid-1990s. Released in 2006, Sovereign is gaining respect for its complex and delicate aroma profile.","Quince, Gingerbread, Green pepper, Cherry"
2f558102-acfb-4de2-bcf0-7665769fc223,Spalt Spalter,,2.5,5.5,3,5,,,,,0.5 - 0.9,20,35,,,,,,,0.5,0.8,5,6,,,,,"Surely one of the world oldest hop varieties, Splat hops date back as far as the 8th century and in the 16th century they were the first variety to be granted the German hop seal – a historically significant certification system predating the current, German Hop Provenance Law. Grown primarily in the Spalt region of Germany, it is one of the original landrace hops.","Tea, Barrique, Ripe banana, Tonka beans, Woodruff"
7c2bc91f-08b6-4e05-8130-9e303dadf57f,Spalter Select,Aroma,3,6.5,2,5,20,28,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.5,1.2,40,50,15,20,6,8,1,1.5,4,5,,"Saaz, Tettnanger, Spalt, Hersbrucker, Perle, Hallertau Tradition","Select Spalt, Spalt Select",,"Released in 1993, Spalter Select was bred in Hüll, Germany in an effort to increase yield potential and disease resistant and serve as a commercial replacement for Spalt. These efforts were quite successful.","Citrus, Woody, Black tea, Camomile blossom"
376e913d-d41b-42aa-a0a2-e249bb30dd34,Star,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not to be confused with Southern Star, Star is an old Belgian land race variety, which is no longer grown commercially. It was largely discontinued due to poor vigor and yield but It is however still obtainable in small quantities for home brewing. It exhibits excellent storage stability and sports a lovely continental-type aroma.",
b95ad9da-057e-43f6-a6f1-bb7658a329d2,Sterling,"Bittering, Aroma",9,,4,6,21,28,US,Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.6,1.9,44,48,19,23,5,8,,,,,,Saaz,,"Spicy, citrus aroma, herbal notes","Sterling was successfully bred to overcome Saaz’s susceptibility to mildew. Developed over 8 years in Corvallis, Oregon it was released in 1998.",
cf9366e4-85d8-4360-ba64-c932aa163ec4,Sticklebract,"Bittering, Aroma",14.2,,7.5,8.5,40,45,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.76,1.72,51,64,8,11,3,6,,,,,,Northern Brewer (GR),,Aromas of pine and citrus,Sticklebract is a dual-use New Zealand variety and another variety bred to stem the issues from Black Root Rot that were present in the country during the mid 20th century. It was selected as a seedling in the 1970’s from open pollinated First Choice.,
215826c8-e712-4241-b616-39b53e1ddbf6,Strisselspalt,Aroma,1.8,2.5,2.5,6,20,27,France,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Moderate,0.6,0.9,35,52,12,32,8,10.3,0.7,0.9,3.5,3.8,,"Liberty, Hallertau, Mt Hood, Crystal, Hersbrucker","French Strisselspalt, Strisselspalter","Pleasant continental-style aroma, herbal, floral, spicy, citrus, fruit","Strisselspalt hails from the Alsace region of France around Strasbourg and is likely related to German Spalt and/or Hersbrucker hops. Thought to be an old land race, its acreage is dwindling due to its inherent low yield but it survives largely on the back of a strong domestic demand for the variety.","Citrus, Lemon grass, Cassis, Grapefruit, Eukalyptus"
f07a7e3b-474b-47fe-a4ae-c7020cf614fd,Styrian Gold,,3.5,6.5,3.5,5.9,,,,,1.3 - 2.3,38,47,,,,,,,1.3,2.3,,,,,,,"Styrian Gold should not be confused with Styrian Golding (aka Savinjski Golding, technically a Fuggle-type hop). Styrian Gold is a Slovenian hop, bred from a Styrian Golding and a Slovenian wild male. It has a noble aroma and a balanced hoppiness, which in part stems from a relatively even alpha to beta acid ratio. Styrian Gold also benefits from good storage stability. It was released in 2009.","Oregano, Honey, Hay, Basil, Nettle"
7afdef58-252d-4633-a0f8-a296ebf65541,Styrian Golding,,4.5,6,2.5,3.5,,,,,0.5 - 1,27,33,,,,,,,0.8,1,,,,,,,"Styrian Golding or Savinjski Golding as it is commonly known, goes by a multitude of sometimes confusing aliases. Confusing still is the fact it actually doesn’t come from a Golding at all, but is rather the result of the clonal selection of Fuggle and as such exhibits many Fuggle-like characteristics.","Lemon tea, Peppermint, Lemon grass"
461b3904-8880-43a6-9328-f6769893c655,Styrian Wolf,"Bittering, Aroma",18.5,,5,6,22,23,Slovenia,,,2.2,3.6,60,70,5,9,2,3,,,,,,,Wolf,,"Developed by the Slovenian Institute for Hop Research and Brewing, Styrian Wolf is one of the latest Styrian hops on the market. When brewed, expect intense fruity and floral notes. These include flavors of sweet tropical fruits and complex aromas of mango, elderflower and even a hint of violet.",
ffee7bd0-88a5-4a58-8cb1-8ba55dd3453e,Summer,,4,7,4.8,6.1,,,,,0.9 - 1.3,5,13,,,,,,,0.3,0.5,,,,,,,"It’s not difficult to see how the Australian hops variety, Summer, got its name after experiencing its sublime and delicate notes of apricot and melon. Others have even noted elements of grass, peach, passionfruit and citrus.","Vegetable, Fennel, Tarragon, Aniseed, Melissa"
3ba51fe2-4639-418a-9738-4e18de9d6437,Summit™,Bittering,16,18,3.3,4.3,26,33,US,Retains 85%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5,3,30,50,15,25,10,16,,,,,,"Columbus, Simcoe®, Apollo",,Citrus aromas,"Developed in 1998 by The American Dwarf Hop Association, a joint hop breeding venture between the owners of Roy Farms, Wyckoff Farms and Green Acres Farms, Summit™ was released for brewing trials in 2000. It has the distinction of being the first semi-dwarf variety to be bred in the United States and is currently the only low trellis variety grown in the country. Its pedigree is decidedly complex, hailing from a combination of Nugget, Zeus and Lexus hops.","Wild garlic, Aniseed, Gooseberry, Incense, Pepper"
1d1a583a-7917-4a9e-89aa-b9d297be5d7d,Sun,Bittering,16,,4.5,7,30,40,US,,,,,55,70,10,15,5,10,,,,,,"Magnum, Galena, Zeus",,Pronounced herbaceous aroma and flavor,"Currently considered as in-development at the S. S. Steiner Hop Farms in Washington State, Sun has not yet been registered or acquired USDA accession. Not much is known about its lineage yet but it is thought to be derived from Brewer’s Gold and sister to Zeus. It has also been suggested that it possesses characteristic similarities to Galena.",
caf2db4b-a428-4859-8361-994e982feaaf,Sunbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not originally envisioned for use in brewing, Sunbeam is an ornamental hop that was discovered to be inadvertently useful as an aroma hop. Selected in 1992 in Corvallis, Oregon, it features characteristics similar to that of its parent variety, Saaz.",
fdfff489-0629-4138-99c2-3ceb482aa063,Sunshine,Aroma,8.2,,2.1,3.1,34,,UK,Retains 50% alpha acid after 6 months storage at 20ºC (68ºF),,1.35,,55,,0.9,,,,,,,,,,,,"Mother to Comet, Sunshine was developed via open pollination seedling selection at Wye College in England. It was selected by Professor E. R. Salmon in the early 1930’s and exhibits a very similar oil profile to Comet.",
2e27af63-77a2-4ff9-80a2-249818b5ef3f,Super Galena,,13,16,8,10,,,,,1.5 - 2.5,45,60,,,,,,,0.3,0.5,,,,,,,,"Plum, Juniper, Honey, Strawberries"
30cb5cb1-3563-4f70-a228-2ef39466ca39,Super Pride,Bittering,13,15.5,6.4,6.9,26.8,28,Australia,,1 - 1.4,2.1,2.6,19,34,1,2,5,8,0.3,0.6,,,,Pride of Ringwood,,,"Super Pride is the offspring of Pride of Ringwood and a descendant of Yeoman. First bred at the Rostrevor Breeding Garden in Victoria in 1987 by Hop Products Australia, it was released in 1995 and since 2002 has become a mainstay bittering variety used in commercial beer production in Australia.","Spicy, Chocolate, Curry, Gingerbread, Marjoram"
e750467f-348e-426c-a68a-906ea0597ed1,Sussex,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sussex hops are an award-winning dwarf variety discovered by Peter Cyster in Northiam, East Sussex in 2005. Its brewing use uncovers a powerful aroma alongside delicate tropical flavors and great flavor retention. It is considered to be forwardly fruity and its unique aroma afforded it third place in the hedgerow category of the Institute of Brewing and Distilling’s British Hop Competition in 2012.",
b9f3f7d5-d090-45cb-9b40-2755a9339c27,Sybilla,,6.5,8,3,5,,,,,1.2 - 2.1,30,50,,,,,,,0.1,0.3,,,,,,,,"Chocolate, Orange, Gingerbread, Barrique, Tobacco"
fde0433a-072c-4bb3-959c-71e1655475ca,Sylva,Aroma,7.3,,3,4.6,20,25,Australia,,,1,1.4,26,36,18,27,5,8,,,,,,"Hallertau Mittelfrüh, Helga, Saaz","Australian Sylva, AU Sylva, Silva","Flavors of the forest and fresh-cut timber, subtle and hoppy bohemian-style aroma","Bred by Hop Products Australia in Tasmania in 1997, Sylva is an Australian aroma hop with a subtle and complex tasting profile. Progeny of Saaz, it is these roots that suit it well to light lagers and pilsners, imparting a bohemian-style hoppiness reminiscent of its Czech parent.",
7e459941-3559-48f2-873c-20ed2324f18f,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,Despite Symphony’s very high alpha content and excellent storage stability its extreme susceptibility to powdery mildew has largely deemed the variety untenable for commercial production.,
6a1d2213-1ccd-4bd7-ac3c-3809d283a536,Tahoma,,7.2,8.2,8.5,9.5,,,,,1 - 2,67,72,,,,,,,,,,,,,,,"Released in 2013 by the USDA and Washington State University, Tahoma is the daughter of Glacier. With alpha content higher than its parent, Tahoma features very low cohumulone giving it a subtle, yet lovely lemon citrus aroma and flavor with undertones of orange, woodiness and spice.",
